"","country_code","year","gdp_growth","gdp_nominal","gdp_per_capita_nominal","gdp_ppp","gdp_per_capita_ppp","gdp_ppp_share"
"1","TWN",2019,3.1,611.396,25903.168,1237.961,52449.039,0.888
"2","TWN",2020,3.4,673.178,28571.44,1359.023,57680.452,0.977
"3","NGA",2019,2.2,474.498,2361.108,1123.348,5589.795,0.806
"4","NGA",2020,-1.8,432.716,2099.135,1145.673,5557.74,0.824
"5","PHL",2019,6.1,376.823,3512.195,988.832,9216.444,0.709
"6","PHL",2020,-9.5,361.751,3312.739,923.367,8455.74,0.664
"7","CHE",2019,1.2,721.89,84481.041,632.69,74042.073,0.454
"8","CHE",2020,-2.3,741.311,86138.871,630.065,73212.322,0.453
"9","IDN",2019,5,1119.1,4192.768,3266.186,12236.943,2.342
"10","IDN",2020,-2.1,1059.055,3919.465,3223.405,11929.526,2.317
"11","VNM",2019,7.4,331.818,3439.102,1071.756,11108.123,0.769
"12","VNM",2020,2.9,346.31,3548.892,1138.632,11668.385,0.818
"13","KEN",2019,5.1,100.328,2107.735,240.007,5042.165,0.172
"14","KEN",2020,-0.3,100.912,2067.987,250.232,5127.992,0.18
"15","ECU",2019,0.2,107.596,6199.031,217.496,12530.832,0.156
"16","ECU",2020,-9.2,95.865,5469.758,202.25,11539.698,0.145
"17","USA",2019,2.6,21539.975,65561.32,21539.975,65561.32,15.448
"18","USA",2020,-2.2,21354.125,64461.618,21354.125,64461.618,15.349
"19","BFA",2019,5.5,16.031,765.132,46.783,2232.881,0.034
"20","BFA",2020,1.9,17.754,824.248,51.145,2374.434,0.037
